start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,Number of Trips,Year
387,Centre St & Chambers St,40.71273266,-74.0046073,309.0,Murray St & West St,40.7149787,-74.013012,908,2013
499,Broadway & W 60 St,40.76915505,-73.98191841,281.0,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,907,2013
433,E 13 St & Avenue A,40.72955361,-73.98057249,285.0,Broadway & E 14 St,40.73454567,-73.99074142,906,2013
497,E 17 St & Broadway,40.73704984,-73.99009296,116.0,W 17 St & 8 Ave,40.74177603,-74.00149746,903,2013
388,W 26 St & 10 Ave,40.749717753,-74.002950346,494.0,W 26 St & 8 Ave,40.74734825,-73.99723551,898,2013
318,E 43 St & Vanderbilt Ave,40.75320159,-73.9779874,492.0,W 33 St & 7 Ave,40.75019995,-73.99093085,894,2013
363,West Thames St,40.70834698,-74.01713445,147.0,Greenwich St & Warren St,40.71542197,-74.01121978,885,2013
347,W Houston St & Hudson St,40.72873888,-74.00748842,426.0,West St & Chambers St,40.71754834,-74.01322069,876,2013
490,8 Ave & W 33 St,40.751551,-73.993934,448.0,W 37 St & 10 Ave,40.75660359,-73.9979009,871,2013
258,DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458,324.0,DeKalb Ave & Hudson Ave,40.689888,-73.981013,866,2013
359,E 47 St & Park Ave,40.75510267,-73.97498696,477.0,W 41 St & 8 Ave,40.75640548,-73.9900262,864,2013
293,Lafayette St & E 8 St,40.73028666,-73.9907647,285.0,Broadway & E 14 St,40.73454567,-73.99074142,862,2013
519,Pershing Square N,40.75188406,-73.97770164,528.0,2 Ave & E 31 St,40.74290902,-73.97706058,862,2013
426,West St & Chambers St,40.71754834,-74.01322069,363.0,West Thames St,40.70834698,-74.01713445,853,2013
438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,293.0,Lafayette St & E 8 St,40.73028666,-73.9907647,853,2013
453,W 22 St & 8 Ave,40.74475148,-73.99915362,521.0,8 Ave & W 31 St,40.75044999,-73.99481051,850,2013
472,E 32 St & Park Ave,40.7457121,-73.98194829,536.0,1 Ave & E 30 St,40.74144387,-73.97536082,850,2013
293,Lafayette St & E 8 St,40.73028666,-73.9907647,432.0,E 7 St & Avenue A,40.72621788,-73.98379855,847,2013
336,Sullivan St & Washington Sq,40.73047747,-73.99906065,382.0,University Pl & E 14 St,40.73492695,-73.99200509,847,2013
457,Broadway & W 58 St,40.76695317,-73.98169333,173.0,Broadway & W 49 St,40.76064679,-73.98442659,844,2013
128,MacDougal St & Prince St,40.72710258,-74.00297088,151.0,Cleveland Pl & Spring St,40.7218158,-73.99720307,842,2013
426,West St & Chambers St,40.71754834,-74.01322069,347.0,W Houston St & Hudson St,40.72873888,-74.00748842,842,2013
426,West St & Chambers St,40.71754834,-74.01322069,387.0,Centre St & Chambers St,40.71273266,-74.0046073,841,2013
147,Greenwich St & Warren St,40.71542197,-74.01121978,3002.0,South End Ave & Liberty St,40.711512,-74.015756,837,2013
519,Pershing Square N,40.75188406,-73.97770164,472.0,E 32 St & Park Ave,40.7457121,-73.98194829,836,2013
435,W 21 St & 6 Ave,40.74173969,-73.99415556,521.0,8 Ave & W 31 St,40.75044999,-73.99481051,834,2013
447,8 Ave & W 52 St,40.76370739,-73.9851615,499.0,Broadway & W 60 St,40.76915505,-73.98191841,834,2013
521,8 Ave & W 31 St,40.75044999,-73.99481051,462.0,W 22 St & 10 Ave,40.74691959,-74.00451887,832,2013
445,E 10 St & Avenue A,40.72740794,-73.98142006,285.0,Broadway & E 14 St,40.73454567,-73.99074142,830,2013
529,W 42 St & 8 Ave,40.7575699,-73.99098507,478.0,11 Ave & W 41 St,40.76030096,-73.99884222,828,2013
147,Greenwich St & Warren St,40.71542197,-74.01121978,329.0,Greenwich St & N Moore St,40.72043411,-74.01020609,826,2013
151,Cleveland Pl & Spring St,40.7218158,-73.99720307,128.0,MacDougal St & Prince St,40.72710258,-74.00297088,821,2013
462,W 22 St & 10 Ave,40.74691959,-74.00451887,521.0,8 Ave & W 31 St,40.75044999,-73.99481051,820,2013
490,8 Ave & W 33 St,40.751551,-73.993934,447.0,8 Ave & W 52 St,40.76370739,-73.9851615,817,2013
477,W 41 St & 8 Ave,40.75640548,-73.9900262,519.0,Pershing Square N,40.75188406,-73.97770164,816,2013
2006,Central Park S & 6 Ave,40.76590936,-73.97634151,499.0,Broadway & W 60 St,40.76915505,-73.98191841,813,2013
382,University Pl & E 14 St,40.73492695,-73.99200509,345.0,W 13 St & 6 Ave,40.73649403,-73.99704374,803,2013
453,W 22 St & 8 Ave,40.74475148,-73.99915362,402.0,Broadway & E 22 St,40.7403432,-73.98955109,802,2013
417,Barclay St & Church St,40.71291224,-74.01020234,415.0,Pearl St & Hanover Square,40.7047177,-74.00926027,801,2013
494,W 26 St & 8 Ave,40.74734825,-73.99723551,489.0,10 Ave & W 28 St,40.75066386,-74.00176802,800,2013
387,Centre St & Chambers St,40.71273266,-74.0046073,147.0,Greenwich St & Warren St,40.71542197,-74.01121978,797,2013
457,Broadway & W 58 St,40.76695317,-73.98169333,281.0,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,795,2013
311,Norfolk St & Broome St,40.7172274,-73.98802084,502.0,Henry St & Grand St,40.714215,-73.981346,793,2013
492,W 33 St & 7 Ave,40.75019995,-73.99093085,472.0,E 32 St & Park Ave,40.7457121,-73.98194829,793,2013
519,Pershing Square N,40.75188406,-73.97770164,518.0,E 39 St & 2 Ave,40.74780373,-73.9734419,793,2013
499,Broadway & W 60 St,40.76915505,-73.98191841,479.0,9 Ave & W 45 St,40.76019252,-73.9912551,792,2013
528,2 Ave & E 31 St,40.74290902,-73.97706058,507.0,E 25 St & 2 Ave,40.73912601,-73.97973776,791,2013
293,Lafayette St & E 8 St,40.73028666,-73.9907647,317.0,E 6 St & Avenue B,40.72453734,-73.98185424,789,2013
284,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,521.0,8 Ave & W 31 St,40.75044999,-73.99481051,788,2013
294,Washington Square E,40.73049393,-73.9957214,483.0,E 12 St & 3 Ave,40.73223272,-73.98889957,788,2013
318,E 43 St & Vanderbilt Ave,40.75320159,-73.9779874,477,W 41 St & 8 Ave,40.75640548,-73.9900262,3744,2014
