station name,latitude,longitude,year
E 33 St & 5 Ave,40.74765947,-73.98490707,2017
W 53 St & 10 Ave,40.76669671,-73.99061728,2017
W 47 St & 10 Ave,40.76269882,-73.99301222,2017
Central Park West & W 72 St,40.77579376683666,-73.9762057363987,2017
W 22 St & 10 Ave,40.74691959,-74.00451887,2017
W 21 St & 6 Ave,40.74173969,-73.99415556,2017
W 104 St & Amsterdam Ave,40.7989937,-73.9662173778,2017
Clinton Ave & Myrtle Ave,40.693261,-73.968896,2017
E 7 St & Avenue A,40.72621788,-73.98379855,2017
6 Ave & Canal St,40.72243797,-74.00566443,2017
Center Blvd & Borden Ave,40.74161,-73.96044,2017
W 16 St & The High Line,40.74334935,-74.00681753,2017
Washington Pl & Broadway,40.72903917,-73.99404649,2017
Carroll St & Smith St,40.680611,-73.99475825,2017
N 11 St & Wythe Ave,40.72153267,-73.95782357,2017
E 2 St & 2 Ave,40.72502876,-73.99069656,2017
Broadway & W 49 St,40.76068327096592,-73.9845272898674,2017
Washington Pl & 6 Ave,40.73224119,-74.00026394,2017
St James Pl & Pearl St,40.71117416,-74.00016545,2017
Montrose Ave & Bushwick Ave,40.70767788,-73.94016171,2017
Madison St & Montgomery St,40.713126,-73.984844,2017
Greenwich St & W Houston St,40.728846,-74.008591,2017
W 45 St & 8 Ave,40.75929124,-73.98859651,2017
Johnson St & Gold St,40.69474881,-73.98362464,2017
Norfolk St & Broome St,40.7172274,-73.98802084,2017
8 Ave & W 31 St,40.7505853470215,-73.9946848154068,2017
Clinton St & Joralemon St,40.69239502,-73.99337909,2017
1 Ave & E 18 St,40.73381219196632,-73.98054420948029,2017
Christopher St & Greenwich St,40.73291553,-74.00711384,2017
St Marks Pl & 1 Ave,40.72779126,-73.98564945,2017
E 14 St & Avenue B,40.72938685,-73.97772429,2017
5 Ave & E 29 St,40.7451677,-73.98683077,2017
2 Ave & E 99 St,40.7862586,-73.94552579,2017
Court St & State St,40.6902375,-73.99203074,2017
W 52 St & 9 Ave,40.76461837,-73.98789473,2017
West St & Chambers St,40.71754834,-74.01322069,2017
Broadway & W 53 St,40.76344058,-73.98268129,2017
Union Ave & Jackson St,40.7160751,-73.952029,2017
Greene Ave & Nostrand Ave,40.6883337,-73.950916,2017
Bank St & Washington St,40.7361967,-74.00859207,2017
Warren St & Church St,40.71473993,-74.00910627,2017
E 20 St & FDR Drive,40.73314259,-73.97573881,2017
5 Ave & E 88 St,40.78307,-73.95939,2017
Bedford Ave & S 9 St,40.70853074,-73.96408963,2017
2 Ave & 9 St,40.6724811,-73.99331394,2017
E 32 St & Park Ave,40.7457121,-73.98194829,2017
E 91 St & 2 Ave,40.78112229934166,-73.94965589046478,2017
Plaza St West & Flatbush Ave,40.6750207,-73.97111473,2017
E 25 St & 2 Ave,40.73912601,-73.97973776,2017
Lawrence St & Willoughby St,40.69236178,-73.98631746,2017
Pike St & E Broadway,40.71406667,-73.99293911,2017
W 11 St & 6 Ave,40.73532427,-73.99800419,2017
E 85 St & 3 Ave,40.77801203,-73.95407149,2017
Greenpoint Ave & Manhattan Ave,40.73026,-73.95394,2017
Broad St & Bridge St,40.70365182,-74.01167797,2017
Roebling St & N 4 St,40.71469,-73.95739,2017
W 52 St & 6 Ave,40.76132983124814,-73.97982001304626,2017
Graham Ave & Withers St,40.7169811,-73.94485918,2017
W 45 St & 6 Ave,40.75668720603179,-73.98257732391357,2017
Grand St & Greene St,40.72165481,-74.00234737,2017
E 20 St & Park Ave,40.73827428,-73.98751968,2017
E 19 St & 3 Ave,40.73624527,-73.98473765,2017
E 47 St & 1 Ave,40.75206862,-73.96784384,2017
S 3 St & Bedford Ave,40.71260486,-73.96264403,2017
Union St & 4 Ave,40.6772744,-73.98282002,2017
Bank St & Hudson St,40.73652889,-74.00618026,2017
W 107 St & Columbus Ave,40.7997568,-73.9621128676,2017
Hicks St & Montague St,40.69512845,-73.99595065,2017
Peck Slip & Front St,40.707873,-74.00167,2017
Water - Whitehall Plaza,40.70255065,-74.0127234,2017
E 24 St & Park Ave S,40.74096374,-73.98602213,2017
Kent Ave & N 7 St,40.72036775298455,-73.96165072917938,2017
Watts St & Greenwich St,40.72405549,-74.00965965,2017
Columbus Ave & W 72 St,40.7770575,-73.97898475,2017
Broadway & W 51 St,40.76228826,-73.98336183,2017
E 44 St & 2 Ave,40.75118387463277,-73.97138714790344,2017
E 58 St & 3 Ave,40.76095756,-73.96724467,2017
Milton St & Franklin St,40.72906,-73.95779,2017
Carlton Ave & Park Ave,40.69580705,-73.97355569,2017
W 27 St & 7 Ave,40.746647,-73.993915,2017
Fulton St & Washington Ave,40.683048,-73.964915,2017
W 42 St & Dyer Ave,40.75898481399634,-73.99379968643188,2017
Lafayette Ave & St James Pl,40.68851534,-73.9647628,2017
W 43 St & 6 Ave,40.75527307,-73.98316936,2017
Avenue D & E 8 St,40.72368361,-73.97574813,2017
Queens Plaza North & Crescent St,40.75110165,-73.94073717,2017
Reed St & Van Brunt St,40.6747844,-74.01612847,2017
Driggs Ave & Lorimer St,40.72179134,-73.9504154,2017
E 27 St & 1 Ave,40.739445,-73.976806,2017
Grand Army Plaza & Plaza St West,40.6729679,-73.97087984,2017
Metropolitan Ave & Meeker Ave,40.71413311,-73.95234386,2017
Broadway & W 58 St,40.76695317,-73.98169333,2017
2 Ave & E 31 St,40.74290902,-73.97706058,2017
Meserole Ave & Manhattan Ave,40.72708584,-73.95299117,2017
N 12 St & Bedford Ave,40.72079821,-73.95484712,2017
9 Ave & W 22 St,40.7454973,-74.00197139,2017
Cooper Square & E 7 St,40.72923649910006,-73.99086803197861,2017
Hope St & Union Ave,40.71167351,-73.95141312,2017
Amsterdam Ave & W 82 St,40.78524672,-73.97667321,2017
Forsyth St & Broome St,40.71893904,-73.99266288,2017
W 55 St & 6 Ave,40.76309387270797,-73.9783501625061,2017
E 91 St & Park Ave,40.7835016,-73.955327,2017
E 80 St & 2 Ave,40.77391390238118,-73.9543953537941,2017
University Pl & E 14 St,40.73492695,-73.99200509,2017
2 Ave & E 96 St,40.7839636,-73.9471673,2017
Front St & Washington St,40.70255088,-73.98940236,2017
E 52 St & 2 Ave,40.756014,-73.967416,2017
Suffolk St & Stanton St,40.72066442,-73.98517977,2017
W 87 St  & Amsterdam Ave,40.78839,-73.9747,2017
Fulton St & Grand Ave,40.68223166,-73.9614583,2017
Cathedral Pkwy & Broadway,40.804213,-73.96699104,2017
W 17 St & 8 Ave,40.74177603,-74.00149746,2017
W 90 St & Amsterdam Ave,40.79017948095081,-73.97288918495178,2017
South St & Gouverneur Ln,40.70355377,-74.00670227,2017
W 92 St & Broadway,40.7921,-73.9739,2017
S Portland Ave & Hanson Pl,40.68539567,-73.97431458,2017
E 67 St & Park Ave,40.76780080148132,-73.96592080593109,2017
Banker St & Meserole Ave,40.72606,-73.95621,2017
N 15 St & Wythe Ave,40.724055,-73.955736,2017
E 16 St & Irving Pl,40.735367055605394,-73.98797392845154,2017
E 84 St & Park Ave,40.77862688,-73.95772073,2017
Broadway & W 29 St,40.7462009,-73.98855723,2017
LaGuardia Pl & W 3 St,40.72917025,-73.99810231,2017
E 97 St & 3 Ave,40.7859201,-73.94860294,2017
W 37 St & 10 Ave,40.75660359,-73.9979009,2017
India St & Manhattan Ave,40.73232194,-73.9550858,2017
W 38 St & 8 Ave,40.75466591,-73.99138152,2017
Columbus Ave & W 95 St,40.7919557,-73.968087,2017
W 95 St & Broadway,40.7937704,-73.971888,2017
Norman Ave & Leonard St - 2,40.7258483,-73.95064893,2017
Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,2017
E 5 St & Avenue C,40.72299208,-73.97995466,2017
E 3 St & 1 Ave,40.72467721,-73.98783413,2017
Devoe St & Lorimer St,40.71335226222875,-73.9491033554077,2017
E 11 St & 1 Ave,40.72953837,-73.98426726,2017
E 48 St & 5 Ave,40.75724567911726,-73.97805914282799,2017
E 58 St & Madison Ave,40.76302594280519,-73.97209525108337,2017
Forsyth St & Canal St,40.7158155,-73.99422366,2017
E 88 St & Park Ave,40.781410700190015,-73.95595908164978,2017
E 48 St & 3 Ave,40.7546011026,-73.971878855,2017
Douglass St & 3 Ave,40.6802133,-73.98432695,2017
W 54 St & 9 Ave,40.76584941,-73.98690506,2017
12 Ave & W 40 St,40.76087502,-74.00277668,2017
Fulton St & Clermont Ave,40.68415748,-73.96922273,2017
E 4 St & 2 Ave,40.7262807,-73.98978041,2017
DeKalb Ave & Hudson Ave,40.689888,-73.981013,2017
Franklin Ave & Myrtle Ave,40.694528,-73.958089,2017
Lafayette St & E 8 St,40.73020660529954,-73.99102628231049,2017
Amsterdam Ave & W 73 St,40.77966809007312,-73.98093044757842,2017
8 Ave & W 16 St,40.740983,-74.001702,2017
W 33 St & 7 Ave,40.75019995,-73.99093085,2017
Emerson Pl & Myrtle Ave,40.69363137,-73.96223558,2017
3 St & Prospect Park West,40.668132,-73.97363831,2017
Broadway & W 24 St,40.7423543,-73.98915076,2017
E 6 St & Avenue B,40.72453734,-73.98185424,2017
Bushwick Ave & Powers St,40.71247661,-73.94100005,2017
Front St & Maiden Ln,40.70530954,-74.00612572,2017
Broadway & W 32 St,40.74854862,-73.98808416,2017
E 76 St & Park Ave,40.773763,-73.96222088,2017
E 2 St & Avenue C,40.7208736,-73.98085795,2017
Avenue D & E 3 St,40.72082834,-73.97793172,2017
Fulton St & William St,40.70955958,-74.00653609,2017
4 Ave & 9 St,40.6705135,-73.98876585,2017
E 55 St & Lexington Ave,40.75968085,-73.97031366,2017
Central Park S & 6 Ave,40.76590936,-73.97634151,2017
Carlton Ave & Flushing Ave,40.697787,-73.973736,2017
Bialystoker Pl & Delancey St,40.71622644,-73.98261206,2017
West End Ave & W 94 St,40.7941654,-73.974124,2017
Carroll St & 5 Ave,40.6751622,-73.9814832,2017
E 6 St & Avenue D,40.72228087,-73.97668709,2017
Washington St & Gansevoort St,40.739323,-74.008119,2017
14 St & 5 Ave,40.666287,-73.98895053,2017
W 67 St & Broadway,40.77492513,-73.98266566,2017
Myrtle Ave & Lewis Ave,40.69681963,-73.93756926,2017
E 9 St & Avenue C,40.72521311,-73.97768752,2017
E 55 St & 2 Ave,40.75797322,-73.96603308,2017
E 30 St & Park Ave S,40.74444921,-73.98303529,2017
W 31 St & 7 Ave,40.749156,-73.9916,2017
Central Park West & W 85 St,40.78472675,-73.96961715,2017
Amsterdam Ave & W 66 St,40.7746671,-73.98470567,2017
Adelphi St & Myrtle Ave,40.69308257,-73.97178913,2017
E 81 St & York Ave,40.7728384,-73.94989233,2017
W 44 St & 5 Ave,40.75500254,-73.98014437,2017
South St & Whitehall St,40.70122128,-74.01234218,2017
Leonard St & Boerum St,40.70583339,-73.94644578,2017
Henry St & Atlantic Ave,40.69089272,-73.99612349,2017
Canal St & Rutgers St,40.71427487,-73.98990025,2017
Berry St & N 8 St,40.7190095,-73.95852515,2017
Liberty St & Broadway,40.70905623,-74.01043382,2017
Cleveland Pl & Spring St,40.722103786686034,-73.99724900722504,2017
E 84 St & 1 Ave,40.77565541,-73.95068615,2017
Broadway & W 36 St,40.75097711,-73.98765428,2017
Wythe Ave & Metropolitan Ave,40.716887,-73.963198,2017
Central Park West & W 68 St,40.7734066,-73.97782542,2017
1 Ave & E 78 St,40.77140426,-73.9535166,2017
Nassau Ave & Russell St,40.72557,-73.94434,2017
E 106 St & Madison Ave,40.7934337,-73.94945003,2017
Fulton St & Rockwell Pl,40.688226,-73.979382,2017
8 Ave & W 33 St,40.751551,-73.993934,2017
Fulton St & Utica Ave,40.6794268,-73.9298911,2017
Columbia St & Kane St,40.68763155,-74.0016256,2017
Madison St & Clinton St,40.71269042,-73.98776323,2017
3 Ave & E 71 St,40.76873687,-73.96119945,2017
Division St & Bowery,40.71413089,-73.9970468,2017
E 25 St & 1 Ave,40.7381765,-73.97738662,2017
1 Ave & E 62 St,40.7612274,-73.96094022,2017
Lispenard St & Broadway,40.71939226,-74.00247214,2017
Front St & Gold St,40.70224,-73.982578,2017
Cherry St,40.71219906,-73.97948148,2017
Willoughby Ave & Hall St,40.69196035,-73.96536851,2017
Cliff St & Fulton St,40.70823502,-74.00530063,2017
E 53 St & 3 Ave,40.75763227739443,-73.96930575370789,2017
W 24 St & 7 Ave,40.74487634,-73.99529885,2017
W 34 St & 11 Ave,40.75594159,-74.0021163,2017
E 39 St & 3 Ave,40.7489006,-73.97604882,2017
W 82 St & Central Park West,40.78275,-73.97137,2017
Reade St & Broadway,40.71450451,-74.00562789,2017
Clermont Ave & Lafayette Ave,40.68764484,-73.96968902,2017
Garfield Pl & 8 Ave,40.6711978,-73.97484126,2017
Columbia St & Rivington St,40.71739973,-73.98016555,2017
Leonard St & Church St,40.717571,-74.005549,2017
E 89 St & York Ave,40.7779453,-73.946041,2017
3 Ave & E 72 St,40.7699426,-73.96060712,2017
E 97 St & Madison Ave,40.787801,-73.953559,2017
West Thames St,40.70834698,-74.01713445,2017
W 13 St & 6 Ave,40.73649403,-73.99704374,2017
W 100 St & Broadway,40.7973721,-73.97041192,2017
W 76 St & Columbus Ave,40.7801839724239,-73.97728532552719,2017
7 St & 3 Ave,40.67260298150126,-73.98983001708984,2017
9 St & 44 Rd,40.74966,-73.9521,2017
E 81 St & Park Ave,40.77677702,-73.9590097,2017
E 110 St & Madison Ave,40.7961535,-73.94782145,2017
Nostrand Ave & Myrtle Ave,40.69527008,-73.95238108,2017
Henry St & Degraw St,40.6847514,-73.99917254,2017
Lexington Ave & Classon Ave,40.68676793,-73.95928168,2017
East End Ave & E 86 St,40.77518615,-73.94446054,2017
Bus Slip & State St,40.701907,-74.013942,2017
Broadway & W 56 St,40.7652654,-73.98192338,2017
E 106 St & Lexington Ave,40.791976,-73.945993,2017
Hudson St & Reade St,40.71625008,-74.0091059,2017
E 88 St & 1 Ave,40.778301,-73.9488134,2017
W 56 St & 10 Ave,40.768254,-73.988639,2017
Clark St & Henry St,40.69760127,-73.99344559,2017
Greenwich St & Hubert St,40.721319,-74.010065,2017
Greene Ave & Throop Ave,40.6894932,-73.942061,2017
W 64 St & West End Ave,40.77452835,-73.98753759,2017
Old Slip & Front St,40.7037992,-74.00838676,2017
Spruce St & Nassau St,40.71146364,-74.00552427,2017
E 10 St & 5 Ave,40.73331967,-73.99510132,2017
Fulton St & Adams St,40.69241829257847,-73.98949474096298,2017
Jackson Ave & 46 Rd,40.74524768,-73.94733276,2017
1 Pl & Clinton St,40.6809591,-73.99905709,2017
Central Park West & W 100 St,40.793393,-73.9635556,2017
14 St & 7 Ave,40.663779,-73.98396846,2017
Cadman Plaza E & Tillary St,40.69597683,-73.99014892,2017
Market St & Cherry St,40.71076228,-73.99400398,2017
W 26 St & 8 Ave,40.74734825,-73.99723551,2017
Vernon Blvd & 50 Ave,40.74232744,-73.95411749,2017
Lexington Ave & E 24 St,40.74025878,-73.98409214,2017
E 78 St & 2 Ave,40.7727966,-73.95577801,2017
Bayard St & Baxter St,40.71602118,-73.99974372,2017
Bergen St & Smith St,40.6867443,-73.99063168,2017
Central Park West & W 76 St,40.77896784,-73.97374737,2017
Franklin St & W Broadway,40.71911552,-74.00666661,2017
W 46 St & 11 Ave,40.76341379,-73.99667444,2017
Scholes St & Manhattan Ave,40.70870368,-73.9448625,2017
W 88 St & West End Ave,40.79025417330419,-73.97718340158461,2017
W 74 St & Columbus Ave,40.7785669,-73.97754961,2017
Stagg St & Union Ave,40.70877084,-73.95095259,2017
Nassau Ave & Newell St,40.724812564400175,-73.94752621650696,2017
Washington Ave & Park Ave,40.69610226,-73.96751037,2017
W 89 St & Columbus Ave,40.7882213,-73.97041561,2017
Lefferts Pl & Franklin Ave,40.680342423,-73.9557689392,2017
W 100 St & Manhattan Ave,40.795,-73.9645,2017
E 39 St & 2 Ave,40.74780373,-73.9734419,2017
E 2 St & Avenue B,40.72217444,-73.98368779,2017
E 31 St & 3 Ave,40.74394314,-73.97966069,2017
E 72 St & York Ave,40.76663814,-73.95348296,2017
Vesey Pl & River Terrace,40.7153379,-74.01658354,2017
W 25 St & 6 Ave,40.74395411,-73.99144871,2017
FDR Drive & E 35 St,40.744219,-73.97121214,2017
Henry St & Poplar St,40.700469,-73.991454,2017
Mercer St & Spring St,40.72362738,-73.99949601,2017
Barclay St & Church St,40.71291224,-74.01020234,2017
York St & Jay St,40.7014851,-73.98656928,2017
Hanson Pl & Ashland Pl,40.68506807308177,-73.97790759801863,2017
Degraw St & Smith St,40.6829151,-73.99318208,2017
E 47 St & Park Ave,40.75510267,-73.97498696,2017
E 71 St & 1 Ave,40.76703432309872,-73.95622730255127,2017
E 65 St & 2 Ave,40.76471851944339,-73.96222069859505,2017
Central Park W & W 96 St,40.79127,-73.964839,2017
Rivington St & Ridge St,40.71850211,-73.98329859,2017
E 76 St & 3 Ave,40.772248537721744,-73.95842134952545,2017
Mercer St & Bleecker St,40.72706363348306,-73.99662137031554,2017
Graham Ave & Grand St,40.711863,-73.944024,2017
Concord St & Bridge St,40.69766564,-73.98476437,2017
W 52 St & 5 Ave,40.75992262,-73.97648516,2017
E 53 St & Madison Ave,40.7597108,-73.97402311,2017
46 Ave & 5 St,40.74731,-73.95451,2017
Clinton St & Union St,40.6831164,-73.99785267,2017
Broadway & Roebling St,40.70924826276157,-73.96063148975372,2017
Washington Park,40.6917823,-73.9737299,2017
E 40 St & 5 Ave,40.752062307,-73.9816324043,2017
44 Dr & Jackson Ave,40.74718234,-73.9432635,2017
E 75 St & 3 Ave,40.77112927,-73.95772297,2017
Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,2017
Kosciuszko St & Tompkins Ave,40.69128258,-73.9452416,2017
1 Ave & E 44 St,40.75001986,-73.96905301,2017
Riverside Dr & W 82 St,40.78720869,-73.98128127,2017
Wyckoff St & 3 Ave,40.6827549,-73.98258555,2017
McGuinness Blvd & Eagle St,40.73555,-73.95284,2017
4 Ave & 2 St,40.674613422475815,-73.98501142859459,2017
Laight St & Hudson St,40.72185379,-74.00771779,2017
Cambridge Pl & Gates Ave,40.68488,-73.96304,2017
President St & Henry St,40.6828003,-73.99990419,2017
Kosciuszko St & Nostrand Ave,40.69072549,-73.95133465,2017
Halsey St & Tompkins Ave,40.6823687,-73.944118,2017
1 Ave & E 94 St,40.7817212,-73.94594,2017
Avenue D & E 12 St,40.72580614,-73.97422494,2017
Riverside Dr & W 78 St,40.78414472,-73.98362492,2017
Barrow St & Hudson St,40.73172428,-74.00674436,2017
10 St & 7 Ave,40.6662078,-73.98199886,2017
Kent Ave & S 11 St,40.707644944175705,-73.96841526031494,2017
6 Ave & 9 St,40.668127,-73.98377641,2017
Central Park West & W 102 St,40.795346,-73.96186,2017
Driggs Ave & N Henry St,40.72325,-73.94308,2017
Baltic St & 5 Ave,40.6795766,-73.97854971,2017
West Drive & Prospect Park West,40.6610633719006,-73.97945255041122,2017
McKibbin St & Manhattan Ave,40.70510918,-73.94407279,2017
Broadway & Battery Pl,40.70463334,-74.01361706,2017
Washington Ave & Greene Ave,40.68650065,-73.96563307,2017
Columbia Heights & Cranberry St,40.70037867,-73.99548059,2017
Lewis Ave & Madison St,40.686312,-73.935775,2017
W 63 St & Broadway,40.77163851,-73.98261428,2017
Berkeley Pl & 7 Ave,40.675146838709786,-73.97523209452629,2017
E 68 St & 3 Ave,40.76712840349542,-73.96224617958069,2017
DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,2017
N 8 St & Driggs Ave,40.71774592,-73.95600096,2017
Myrtle Ave & Marcy Ave,40.69539817,-73.94954908,2017
Kane St & Clinton St,40.6861758,-73.99645295,2017
Stanton St & Mangin St,40.71782143,-73.97628939,2017
12 St & 4 Ave,40.668603,-73.9904394,2017
7 St & 5 Ave,40.6704922,-73.98541675,2017
E 74 St & 1 Ave,40.7689738,-73.95482273,2017
Kingston Ave & Herkimer St,40.67890679,-73.94142771,2017
S 4 St & Rodney St,40.70934,-73.95608,2017
Degraw St & Hoyt St,40.68199044270703,-73.99079024791718,2017
Madison Ave & E 82 St,40.7781314,-73.96069399,2017
W 18 St & 6 Ave,40.73971301,-73.99456405,2017
E 41 St & Madison Ave,40.752165280621966,-73.97992193698882,2017
5 Ave & E 73 St,40.77282817,-73.96685276,2017
Berkeley Pl & 6 Ave,40.6765304,-73.97846879,2017
Bayard St & Leonard St,40.71915571696044,-73.94885390996933,2017
W 106 St & Amsterdam Ave,40.8008363,-73.9664492472,2017
21 St & Queens Plaza North,40.75325964,-73.94335788,2017
3 Ave & E 62 St,40.76312584,-73.96526895,2017
E 51 St & 1 Ave,40.75455731,-73.96592976,2017
Riverside Dr & W 104 St,40.8013434,-73.9711457439,2017
Pike St & Monroe St,40.71173107,-73.99193043,2017
West End Ave & W 107 St,40.8021174,-73.9681805305,2017
W 20 St & 11 Ave,40.746745,-74.007756,2017
W 37 St & 5 Ave,40.75038009,-73.98338988,2017
Willoughby St & Fleet St,40.69196566,-73.9813018,2017
5 St & 6 Ave,40.6704836,-73.98208968,2017
N 6 St & Bedford Ave,40.71745169,-73.95850939,2017
6 St & 7 Ave,40.6686627,-73.97988067,2017
Willoughby Ave & Walworth St,40.69331716,-73.95381995,2017
Maiden Ln & Pearl St,40.70706456,-74.00731853,2017
5 Ave & 3 St,40.6728155,-73.98352355,2017
Cumberland St & Lafayette Ave,40.68753406,-73.97265183,2017
3 St & 7 Ave,40.6703837,-73.97839676,2017
Riverside Blvd & W 67 St,40.777507027547976,-73.98888587951659,2017
